"Species","Genus","Family","species.relative","genus.relative"
"Ocotea PCL181","Ocotea","Lauraceae",,
"Solanum extensum","Solanum","Solanaceae",,
"Paullinia obovata","Paullinia","Sapindaceae",,
"Ocotea AEC147","Ocotea","Lauraceae",,
"Cyathea conjugata","Cyathea","Cyatheaceae",,
"Bignonia decora","Bignonia","Bignoniaceae",,
"Magoniella obidensis","Magoniella","Polygonaceae",,
"Weinmannia trianaea","Weinmannia","Cunoniaceae",,
"Ocotea AF12244","Ocotea","Lauraceae",,
"Piper DC102","Piper","Piperaceae",,
"Plathymenia reticulata","Plathymenia","Fabaceae",,
"Cissus MJM4596","Cissus","Vitaceae",,
"Cochlospermum vitifolium","Cochlospermum","Bixaceae",,
"Souroubea MJM6980","Souroubea","Marcgraviaceae",,
"Symplocos colorata","Symplocos","Symplocaceae",,
"Inga FCM355","Inga","Fabaceae",,
"Astronium lecointei","Astronium","Anacardiaceae",,
"Gynoxys JQQ822","Gynoxys","Asteraceae",,
"Clavija poeppigii","Clavija","Primulaceae",,
"Miconia rupticalyx","Miconia","Melastomataceae",,
"Rudgea MCM161","Rudgea","Rubiaceae",,
"Piper augustum","Piper","Piperaceae",,
"Neea mapirensis","Neea","Nyctaginaceae",,
"Ocotea AAD113","Ocotea","Lauraceae",,
"Dicranostyles ampla","Dicranostyles","Convolvulaceae",,
"Palicourea guianensis","Palicourea","Rubiaceae",,
"Adelphia macrophylla","Adelphia","Malpighiaceae",,
"Nectandra sp48","Nectandra","Lauraceae",,
"Cyathostegia mathewsii","Cyathostegia","Fabaceae",,
"Neea parviflora","Neea","Nyctaginaceae",,
"Oreopanax sp2","Oreopanax","Araliaceae",,
"Clethra sp3","Clethra","Clethraceae",,
"Ocotea sp12","Ocotea","Lauraceae",,
"Sloanea stipitata","Sloanea","Elaeocarpaceae",,
"Pouteria procera","Pouteria","Sapotaceae",,
"Gordonia planchonii","Gordonia","Theaceae",,
"Persea sp12","Persea","Lauraceae",,
"Cyathea sp6","Cyathea","Cyatheaceae",,
"Cyathea sp4","Cyathea","Cyatheaceae",,
"Symplocos spruceana","Symplocos","Symplocaceae",,
"Demosthenesia mandonii","Demosthenesia","Ericaceae",,
"Qualea tessmannii","Qualea","Vochysiaceae",,
"Marila laxiflora","Marila","Calophyllaceae",,
"Vochysia gigantea","Vochysia","Vochysiaceae",,
"Allophylus edulis","Allophylus","Sapindaceae",,
"Inga LC4134B","Inga","Fabaceae",,
"Batocarpus amazonicus","Batocarpus","Moraceae",,
"Machaerium CMG3049","Machaerium","Fabaceae",,
"Coussapoa asperifolia","Coussapoa","Urticaceae",,
"Baccharis oblongifolia","Baccharis","Asteraceae",,
"Inga expansa","Inga","Fabaceae",,
"Vismia subcuneata","Vismia","Hypericaceae",,
"Mandevilla boliviensis","Mandevilla","Apocynaceae",,
"Mendoncia aspera","Mendoncia","Acanthaceae",,
"Rinoreocarpus ulei","Rinoreocarpus","Violaceae",,
"Cheiloclinium APC99","Cheiloclinium","Celastraceae",,
"Ocotea longifolia","Ocotea","Lauraceae",,
"Dendrophorbium curvidens","Dendrophorbium","Asteraceae",,
"Xylophragma platyphyllum","Xylophragma","Bignoniaceae",,
"Chamaedorea linearis","Chamaedorea","Arecaceae",,
"Axinaea JGM31","Axinaea","Melastomataceae",,
"Weinmannia ECQ89","Weinmannia","Cunoniaceae",,
"Boehmeria caudata","Boehmeria","Urticaceae",,
"Turnera weddelliana","Turnera","Passifloraceae",,
"Piptocarpha lechleri","Piptocarpha","Asteraceae",,
"Cinchona ILR1042","Cinchona","Rubiaceae",,
"Mikania ILR1855","Mikania","Asteraceae",,
"Eugenia biflora","Eugenia","Myrtaceae",,
"Ficus boliviana","Ficus","Moraceae",,
"Aniba perutilis","Aniba","Lauraceae",,
"Staphylea occidentalis","Staphylea","Staphyleaceae",,
"Rollinia cuspidata","Rollinia","Annonaceae",,
"Guarea sp2","Guarea","Meliaceae",,
"Ternstroemia brachypoda","Ternstroemia","Pentaphylacaceae",,
"Endlicheria sp2","Endlicheria","Lauraceae",,
"Hirtella sp3","Hirtella","Chrysobalanaceae",,
"Chrysochlamys ulei","Chrysochlamys","Clusiaceae",,
"Nectandra sp77","Nectandra","Lauraceae",,
"Quiina sp2","Quiina","Quiinaceae",,
"Guatteria terminalis","Guatteria","Annonaceae",,
"Diplotropis peruviana","Diplotropis","Fabaceae",,
"Calyptranthes AM3415","Calyptranthes","Myrtaceae",,
"Protium heptaphyllum","Protium","Burseraceae",,
"Fridericia celastroides","Fridericia","Bignoniaceae",,
"Anemopaegma insculptum","Anemopaegma","Bignoniaceae",,
"Ocotea BNA747","Ocotea","Lauraceae",,
"Pyrostegia venusta","Pyrostegia","Bignoniaceae",,
"Dioclea VTF140","Dioclea","Fabaceae",,
"Myrcia LC2899","Myrcia","Myrtaceae",,
"Symplocos LC3482","Symplocos","Symplocaceae",,
"Notopleura epiphytica","Notopleura","Rubiaceae",,
"Moutabea aculeata","Moutabea","Polygalaceae",,
"Paullinia elegans","Paullinia","Sapindaceae",,
"Elaeagia AF17338","Elaeagia","Rubiaceae",,
"Tynanthus villosus","Tynanthus","Bignoniaceae",,
"Neea buchtienii","Neea","Nyctaginaceae",,
"Thibaudia diphylla","Thibaudia","Ericaceae",,
"Qualea grandiflora","Qualea","Vochysiaceae",,
"Mascagnia glabrata","Mascagnia","Malpighiaceae",,
"Rudgea poeppigii","Rudgea","Rubiaceae",,
"Poecilanthe AFC88","Poecilanthe","Fabaceae",,
"Dicranostyles mildbraediana","Dicranostyles","Convolvulaceae",,
"Barnadesia pycnophylla","Barnadesia","Asteraceae",,
"Munnozia hastifolia","Munnozia","Asteraceae",,
"Cordia MJM6000","Cordia","Boraginaceae",,
"Dicella conwayi","Dicella","Malpighiaceae",,
"Senegalia amazonica","Senegalia","Fabaceae",,
"Pourouma tomentosa","Pourouma","Urticaceae",,
"Guazuma ulmifolia","Guazuma","Malvaceae",,
"Sciadotenia toxifera","Sciadotenia","Menispermaceae",,
"Virola mollissima","Virola","Myristicaceae",,
"Cinnamomum triplinerve","Cinnamomum","Lauraceae",,
"Faramea torquata","Faramea","Rubiaceae",,
"Saurauia peruviana","Saurauia","Actinidiaceae",,
"Chrysophyllum sp2","Chrysophyllum","Sapotaceae",,
"Tapirira obtusa","Tapirira","Anacardiaceae",,
"Cyathea ruiziana","Cyathea","Cyatheaceae",,
"Schefflera inambarica","Schefflera","Araliaceae",,
"Myrcia magnifolia","Myrcia","Myrtaceae",,
"Desfontainea spinosa","Desfontainea","Loganiaceae",,
"Bactris gasipaes","Bactris","Arecaceae",,
"Ocotea ALM63","Ocotea","Lauraceae",,
"Annona ILR230","Annona","Annonaceae",,
"Erythroxylum pauciflorum","Erythroxylum","Erythroxylaceae",,
"Vitex cymosa","Vitex","Lamiaceae",,
"Ficus caballina","Ficus","Moraceae",,
"Maclura tinctoria","Maclura","Moraceae",,
"Ilex AM3498","Ilex","Aquifoliaceae",,
"Cheiloclinium hippocrateoides","Cheiloclinium","Celastraceae",,
"Phenax laevigatus","Phenax","Urticaceae",,
"Pouteria DDQ105","Pouteria","Sapotaceae",,
"Cordia bicolor","Cordia","Boraginaceae",,
"Critoniopsis choquetangensis","Critoniopsis","Asteraceae",,
"Oblivia mikanioides","Oblivia","Asteraceae",,
"Odontadenia puncticulosa","Odontadenia","Apocynaceae",,
"Myrcia bracteata","Myrcia","Myrtaceae",,
"Astronium fraxinifolium","Astronium","Anacardiaceae",,
"Ocotea weberbaueri","Ocotea","Lauraceae",,
"Cariniana estrellensis","Cariniana","Lecythidaceae",,
"Cybianthus venezuelanus","Cybianthus","Primulaceae",,
"Miconia GAT1582","Miconia","Melastomataceae",,
"Piper GAT1691","Piper","Piperaceae",,
"Fridericia egensis","Fridericia","Bignoniaceae",,
"Rourea AAD446","Rourea","Connaraceae",,
"Qualea paraensis","Qualea","Vochysiaceae",,
"Vismia mandurr","Vismia","Hypericaceae",,
"Nectandra sp24","Nectandra","Lauraceae",,
"Endlicheria sp4","Endlicheria","Lauraceae",,
"Pentacalia sp1","Pentacalia","Asteraceae",,
"Weinmannia sp1","Weinmannia","Cunoniaceae",,
"Symbolanthus sp1","Symbolanthus","Gentianaceae",,
"Byrsonima sp3","Byrsonima","Malpighiaceae",,
"Siphonandra elliptica","Siphonandra","Ericaceae",,
"Matayba boliviana","Matayba","Sapindaceae",,
"Neea AF11752","Neea","Nyctaginaceae",,
"Nectandra MCM1411","Nectandra","Lauraceae",,
"Tovomita micrantha","Tovomita","Clusiaceae",,
"Tetrorchidium rubrivenium","Tetrorchidium","Euphorbiaceae",,
"Coussapoa ALM170","Coussapoa","Urticaceae",,
"Sciodaphyllum AF9709","Sciodaphyllum","Araliaceae",,
"Mezilaurus itauba","Mezilaurus","Lauraceae",,
"Ocotea GAT1562","Ocotea","Lauraceae",,
"Psychotria hoffmannseggiana","Psychotria","Rubiaceae",,
"Guatteria schomburgkiana","Guatteria","Annonaceae",,
"Miconia grandifoliata","Miconia","Melastomataceae",,
"Piper reticulatum","Piper","Piperaceae",,
"Maytenus meguillensis","Maytenus","Celastraceae",,
"Nissolia fruticosa","Nissolia","Fabaceae",,
"Piper GAT2447","Piper","Piperaceae",,
"Myrcianthes rhopaloides","Myrcianthes","Myrtaceae",,
"Llerasia macrocephala","Llerasia","Asteraceae",,
"Aniba coto","Aniba","Lauraceae",,
"Licania hypoleuca","Licania","Chrysobalanaceae",,
"Myrcia AF17258","Myrcia","Myrtaceae",,
"Talisia LC1957","Talisia","Sapindaceae",,
"Alsophila mostellaria","Alsophila","Cyatheaceae",,
"Sciodaphyllum tipuanicum","Sciodaphyllum","Araliaceae",,
"Miconia ILR1866","Miconia","Melastomataceae",,
"Ocotea MJM5890","Ocotea","Lauraceae",,
"Eugenia subterminalis","Eugenia","Myrtaceae",,
"Oreopanax sp1","Oreopanax","Araliaceae",,
"Myrsine sp12","Myrsine","Primulaceae",,
"Baccharis salicifolia","Baccharis","Asteraceae",,
"Miconia modica","Miconia","Melastomataceae",,
"Licania sp3","Licania","Chrysobalanaceae",,
"Pouteria juruana","Pouteria","Sapotaceae",,
"Guatteria cuscoensis","Guatteria","Annonaceae",,
"Meliosma pumila","Meliosma","Sabiaceae",,
"Inga sp36","Inga","Fabaceae",,
"Neea oppositifolia","Neea","Nyctaginaceae",,
"Clusia sp3","Clusia","Clusiaceae",,
"Clidemia sp60","Clidemia","Melastomataceae",,
"Siparuna sp1","Siparuna","Siparunaceae",,
"Miconia LC4360A","Miconia","Melastomataceae",,
"Pouteria ramiflora","Pouteria","Sapotaceae",,
"Pisonia zapallo","Pisonia","Nyctaginaceae",,
"Calyptranthes concinna","Calyptranthes","Myrtaceae",,
"Machaerium floribundum","Machaerium","Fabaceae",,
"Myrcia magnoliifolia","Myrcia","Myrtaceae",,
"Centropogon incanus","Centropogon","Campanulaceae",,
"Calliandra trinervia","Calliandra","Fabaceae",,
"Daphnopsis MVH177","Daphnopsis","Thymelaeaceae",,
"Marsdenia altissima","Marsdenia","Apocynaceae",,
"Bignonia aequinoctialis","Bignonia","Bignoniaceae",,
"Maquira guianensis","Maquira","Moraceae",,
"Lissocarpa tetramera","Lissocarpa","Ebenaceae",,
"Vochysia citrifolia","Vochysia","Vochysiaceae",,
"Abuta AF17171","Abuta","Menispermaceae",,
"Stryphnodendron guianense","Stryphnodendron","Fabaceae",,
"Pouteria MJM5197","Pouteria","Sapotaceae",,
"Ruagea AF14267B","Ruagea","Meliaceae",,
"Cuspidaria lateriflora","Cuspidaria","Bignoniaceae",,
"Casearia megacarpa","Casearia","Salicaceae",,
"Trema micrantha","Trema","Cannabaceae",,
"Hebepetalum humiriifolium","Hebepetalum","Linaceae",,
"Ocotea javitensis","Ocotea","Lauraceae",,
"Miconia sp9","Miconia","Melastomataceae",,
"Meliosma sp15","Meliosma","Sabiaceae",,
"Mollinedia pulcherrima","Mollinedia","Monimiaceae",,
"Myriocarpa longipes","Myriocarpa","Urticaceae",,
"Talisia hexaphylla","Talisia","Sapindaceae",,
"Heteropterys eglandulosa","Heteropterys","Malpighiaceae",,
"Pachystroma longifolium","Pachystroma","Euphorbiaceae",,
"Mascagnia divaricata","Mascagnia","Malpighiaceae",,
"Andira inermis","Andira","Fabaceae",,
"Omphalea diandra","Omphalea","Euphorbiaceae",,
"Protium AEC227","Protium","Burseraceae",,
"Coussapoa cinnamomifolia","Coussapoa","Urticaceae",,
"Colignonia glomerata","Colignonia","Nyctaginaceae",,
"Vantanea compacta","Vantanea","Humiriaceae",,
"Parkia nitida","Parkia","Fabaceae",,
"Macrocarpaea cochabambensis","Macrocarpaea","Gentianaceae",,
"Meriania tomentosa","Meriania","Melastomataceae",,
"Cissus pseudoverticillata","Cissus","Vitaceae",,
"Miconia lourteigiana","Miconia","Melastomataceae",,
"Platymiscium pubescens","Platymiscium","Fabaceae",,
"Fuchsia denticulata","Fuchsia","Onagraceae",,
"Miconia CMG3231","Miconia","Melastomataceae",,
"Calyptranthes MJM5284","Calyptranthes","Myrtaceae",,
"Abuta GAT2118","Abuta","Menispermaceae",,
"Machaerium leiophyllum","Machaerium","Fabaceae",,
"Eirmocephala megaphylla","Eirmocephala","Asteraceae",,
"Paullinia boliviana","Paullinia","Sapindaceae",,
"Cecropia sp4","Cecropia","Urticaceae",,
"Talisia obovata","Talisia","Sapindaceae",,
"Elaeagia sp1","Elaeagia","Rubiaceae",,
"Cestrum sp3","Cestrum","Solanaceae",,
"Miconia brachyanthera","Miconia","Melastomataceae",,
"Ilex biserrulata","Ilex","Aquifoliaceae",,
"Baccharis sp2","Baccharis","Asteraceae",,
"Persea sp1","Persea","Lauraceae",,
"Dyctiocarium lamarckianum","Dyctiocarium","Arecaceae",,
"Gymnanthes discolor","Gymnanthes","Euphorbiaceae",,
"Ocotea LC6779","Ocotea","Lauraceae",,
"Duranta sprucei","Duranta","Verbenaceae",,
"Persea sphaerocarpa","Persea","Lauraceae",,
"Pouteria tarapotensis","Pouteria","Sapotaceae",,
"Fridericia spicata","Fridericia","Bignoniaceae",,
"Erythroxylum squamatum","Erythroxylum","Erythroxylaceae",,
"Eugenia speciosa","Eugenia","Myrtaceae",,
"Cybistax antisyphilitica","Cybistax","Bignoniaceae",,
"Eugenia hyemalis","Eugenia","Myrtaceae",,
"Ternstroemia asymmetrica","Ternstroemia","Pentaphylacaceae",,
"Geonoma macrostachys","Geonoma","Arecaceae",,
"Myrciaria AM2829","Myrciaria","Myrtaceae",,
"Rudgea MJM5730","Rudgea","Rubiaceae",,
"Miconia ampla","Miconia","Melastomataceae",,
"Ilex GAT3121","Ilex","Aquifoliaceae",,
"Valeriana clematitis","Valeriana","Caprifoliaceae",,
"Phyllonoma ruscifolia","Phyllonoma","Phyllonomaceae",,
"Randia TMG773","Randia","Rubiaceae",,
"Palicourea thyrsiflora","Palicourea","Rubiaceae",,
"Psychotria CMG2780","Psychotria","Rubiaceae",,
"Baccharis pentlandii","Baccharis","Asteraceae",,
"Terminalia argentea","Terminalia","Combretaceae",,
"Alibertia NPZ5057","Alibertia","Rubiaceae",,
"Pera glabrata","Pera","Peraceae",,
"Persea NPZ5789","Persea","Lauraceae",,
"Anthodon decussatus","Anthodon","Celastraceae",,
"Orthaea ignea","Orthaea","Ericaceae",,
"Gaultheria eriophylla","Gaultheria","Ericaceae",,
"Podocarpus magnifolius","Podocarpus","Podocarpaceae",,
"Terminalia tetraphylla","Terminalia","Combretaceae",,
"Ilex JQQ1062","Ilex","Aquifoliaceae",,
"Coussarea MCM1144","Coussarea","Rubiaceae",,
"Styrax subargenteus","Styrax","Styracaceae",,
"Strychnos toxifera","Strychnos","Loganiaceae",,
"Hiraea SPS20","Hiraea","Malpighiaceae",,
"Nectandra ILR1006","Nectandra","Lauraceae",,
"Mikania GAT1469","Mikania","Asteraceae",,
"Prunus ETP160","Prunus","Rosaceae",,
"Endlicheria AAD587","Endlicheria","Lauraceae",,
"Ficus eximia","Ficus","Moraceae",,
"Nectandra lineata","Nectandra","Lauraceae",,
"Nectandra sp22","Nectandra","Lauraceae",,
"Miconia tetragona","Miconia","Melastomataceae",,
"Laetia sp","Laetia","Salicaceae",,
"Norantea guianensis","Norantea","Marcgraviaceae",,
"Miconia crassipes","Miconia","Melastomataceae",,
"Cyathea sp15","Cyathea","Cyatheaceae",,
"Sloanea sp","Sloanea","Elaeocarpaceae",,
"Spirotheca rosea","Spirotheca","Malvaceae",,
"Brunellia stenoptera","Brunellia","Brunelliaceae",,
"Vochysia leguiana","Vochysia","Vochysiaceae",,
"Persea caerulea","Persea","Lauraceae",,
"Persea corymbosa","Persea","Lauraceae",,
"Guatteria sp2","Guatteria","Annonaceae",,
"Cecropia sciadophylla","Cecropia","Urticaceae",,
"Neea spruceana","Neea","Nyctaginaceae",,
"Pentacalia sp3","Pentacalia","Asteraceae",,
"Gynoxys sp4","Gynoxys","Asteraceae",,
"Clusia cretosa","Clusia","Clusiaceae",,
"Diplostephium sp1","Diplostephium","Asteraceae",,
"Psittacanthus sp1","Psittacanthus","Loranthaceae",,
"Dendropanax williamsii","Dendropanax","Araliaceae",,
"Ocotea AM3556","Ocotea","Lauraceae",,
"Chondrodendron tomentosum","Chondrodendron","Menispermaceae",,
"Thinouia BNA796","Thinouia","Sapindaceae",,
"Gurania TMG75","Gurania","Cucurbitaceae",,
"Pouteria bangii","Pouteria","Sapotaceae",,
"Ternstroemia GAT2772","Ternstroemia","Pentaphylacaceae",,
"Agouticarpa isernii","Agouticarpa","Rubiaceae",,
"Machaerium oblongifolium","Machaerium","Fabaceae",,
"Meriania axinioides","Meriania","Melastomataceae",,
"Psychotria GAT3085","Psychotria","Rubiaceae",,
"Psychotria GAT3194","Psychotria","Rubiaceae",,
"Duranta GAT3206","Duranta","Verbenaceae",,
"Vasconcellea microcarpa","Vasconcellea","Caricaceae",,
"Ilex GAT1615A","Ilex","Aquifoliaceae",,
"Cecropia polystachya","Cecropia","Urticaceae",,
"Sciodaphyllum AF19263","Sciodaphyllum","Araliaceae",,
"Combretum assimile","Combretum","Combretaceae",,
"Ocotea amazonica","Ocotea","Lauraceae",,
"Buchenavia oxycarpa","Buchenavia","Combretaceae",,
"Daphnopsis MJM6006","Daphnopsis","Thymelaeaceae",,
"Margaritaria nobilis","Margaritaria","Phyllanthaceae",,
"Ocotea cuprea","Ocotea","Lauraceae",,
"Ampelocera longissima","Ampelocera","Ulmaceae",,
"Brunellia littlei","Brunellia","Brunelliaceae",,
"Miconia sp12","Miconia","Melastomataceae",,
"Trichilia sp1","Trichilia","Meliaceae",,
"Pourouma sp9","Pourouma","Urticaceae",,
"Trichilia quadrijuga","Trichilia","Meliaceae",,
"Tachigali sp1","Tachigali","Fabaceae",,
"Lozania mutisiana","Lozania","Lacistemataceae",,
"Ternstroenia globiflora","Ternstroenia","Theaceae",,
"Nectandra pearcei","Nectandra","Lauraceae",,
"Pisonia aculeata","Pisonia","Nyctaginaceae",,
"Podocarpus celatus","Podocarpus","Podocarpaceae",,
"Alicia macrodisca","Alicia","Malpighiaceae",,
"Baccharis buchtienii","Baccharis","Asteraceae",,
"Prionostemma asperum","Prionostemma","Celastraceae",,
"Trichilia MJM6643","Trichilia","Meliaceae",,
"Chamissoa altissima","Chamissoa","Amaranthaceae",,
"Mascagnia cordifolia","Mascagnia","Malpighiaceae",,
"Myrciaria tenella","Myrciaria","Myrtaceae",,
"Symplocos denticulata","Symplocos","Symplocaceae",,
"Oreopanax GAT2857","Oreopanax","Araliaceae",,
"Ocotea stenophylla","Ocotea","Lauraceae",,
"Paullinia clathrata","Paullinia","Sapindaceae",,
"Asplundia AAD747","Asplundia","Cyclanthaceae",,
"Oreopanax GAT2973","Oreopanax","Araliaceae",,
"Miconia acuminata","Miconia","Melastomataceae",,
"Handroanthus LC713","Handroanthus","Bignoniaceae",,
"Pentacalia epiphytica","Pentacalia","Asteraceae",,
"Maytenus jelskii","Maytenus","Celastraceae",,
"Neea virens","Neea","Nyctaginaceae",,
"Persea buchtienii","Persea","Lauraceae",,
"Solanum ternatum","Solanum","Solanaceae",,
"Talisia cerasina","Talisia","Sapindaceae",,
"Piper cataractarum","Piper","Piperaceae",,
"Tontelea attenuata","Tontelea","Celastraceae",,
"Inga striolata","Inga","Fabaceae",,
"Tovomita brasiliensis","Tovomita","Clusiaceae",,
"Pouteria guianensis","Pouteria","Sapotaceae",,
"Senegalia rurrenabaqueana","Senegalia","Fabaceae",,
"Bathysa sp2","Bathysa","Rubiaceae",,
"Inga killipiana","Inga","Fabaceae",,
"Viburnum reticulatum","Viburnum","Adoxaceae",,
"Meliosma boliviensis","Meliosma","Sabiaceae",,
"Plinia sp1","Plinia","Myrtaceae",,
"Bactris setulosa","Bactris","Arecaceae",,
"Tachigali sp3","Tachigali","Fabaceae",,
"Ilex trichoclada","Ilex","Aquifoliaceae",,
"Persea sp3","Persea","Lauraceae",,
"Hevea brasiliensis","Hevea","Euphorbiaceae",,
"Mouriri sp1","Mouriri","Melastomataceae",,
"Bellucia sp1","Bellucia","Melastomataceae",,
"Ilex sp12","Ilex","Aquifoliaceae",,
"Brachyotum naudini","Brachyotum","Melastomataceae",,
"Gynoxys sp6","Gynoxys","Asteraceae",,
"Ocotea caesifolia","Ocotea","Lauraceae",,
"Chionanthus pubescens","Chionanthus","Oleaceae",,
"Sterculia apeibophylla","Sterculia","Malvaceae",,
"Alibertia RS8845","Alibertia","Rubiaceae",,
"Miconia GAT3261","Miconia","Melastomataceae",,
"Hydrangea peruviana","Hydrangea","Hydrangeaceae",,
"Miconia CMG2453","Miconia","Melastomataceae",,
"Pseudosicydium acaranthum","Pseudosicydium","Cucurbitaceae",,
"Faramea occidentalis","Faramea","Rubiaceae",,
"Citronella melliodora","Citronella","Cardiopteridaceae",,
"Miconia MCM1089","Miconia","Melastomataceae",,
"Paullinia bilobulata","Paullinia","Sapindaceae",,
"Bronwenia wurdackii","Bronwenia","Malpighiaceae",,
"Tournefortia bicolor","Tournefortia","Boraginaceae",,
"Pourouma cucura","Pourouma","Urticaceae",,
"Ladenbergia GAT1816","Ladenbergia","Rubiaceae",,
"Matayba AAD22","Matayba","Sapindaceae",,
"Cyathea sp","Cyathea","Cyatheaceae",,
"Vochysia majuscula","Vochysia","Vochysiaceae",,
"Phyllanthus attenuatus","Phyllanthus","Phyllanthaceae",,
"Ormosia sp2","Ormosia","Fabaceae",,
"Elaeagia utilis","Elaeagia","Rubiaceae",,
"Symplocos fuliginosa","Symplocos","Symplocaceae",,
"Sloanea obtusifolia","Sloanea","Elaeocarpaceae",,
"Calyptranthes longifolia","Calyptranthes","Myrtaceae",,
"Mikania banisteriae","Mikania","Asteraceae",,
"Souroubea corallina","Souroubea","Marcgraviaceae",,
"Allophylus punctatus","Allophylus","Sapindaceae",,
"Didymopanax morototoni","Didymopanax","Araliaceae",,
"Sloanea picapica","Sloanea","Elaeocarpaceae",,
"Inga nobilis","Inga","Fabaceae",,
"Bignonia campanulata","Bignonia","Bignoniaceae",,
"Gynoxys GAT2600","Gynoxys","Asteraceae",,
"Siparuna grandiflora","Siparuna","Siparunaceae",,
"Meriania brittoniana","Meriania","Melastomataceae",,
"Connarus AAD73","Connarus","Connaraceae",,
"Passiflora venosa","Passiflora","Passifloraceae",,
"Marcgravia AF11549","Marcgravia","Marcgraviaceae",,
"Simaba guianensis","Simaba","Simaroubaceae",,
"Endlicheria macrophylla","Endlicheria","Lauraceae",,
"Cecropia cecropiifolia","Cecropia","Urticaceae",,
"Ocotea sp8","Ocotea","Lauraceae",,
"Inga sp34","Inga","Fabaceae",,
"Pentacalia sp5","Pentacalia","Asteraceae",,
"Ocotea sp9","Ocotea","Lauraceae",,
"Piper coruscans","Piper","Piperaceae",,
"Amanoa oblongifolia","Amanoa","Phyllanthaceae",,
"Heliocarpus popayanensis","Heliocarpus","Malvaceae",,
"Croton rimbachii","Croton","Euphorbiaceae",,
"Myrcia LC514","Myrcia","Myrtaceae",,
"Aspidosperma melanocalyx","Aspidosperma","Apocynaceae",,
"Chomelia apodantha","Chomelia","Rubiaceae",,
"Trichilia tomentosa","Trichilia","Meliaceae",,
"Meliosma NPZ5797","Meliosma","Sabiaceae",,
"Ocotea CMG2534","Ocotea","Lauraceae",,
"Bowdichia virgilioides","Bowdichia","Fabaceae",,
"Cecropia strigosa","Cecropia","Urticaceae",,
"Bunchosia argentea","Bunchosia","Malpighiaceae",,
"Cyathea sp24","Cyathea","Cyatheaceae",,
"Simaba orinocensis","Simaba","Simaroubaceae",,
"Miconia farfanii","Miconia","Melastomataceae",,
"Tibouchina dimorphophylla","Tibouchina","Melastomataceae",,
"Ficus tonduzii","Ficus","Moraceae",,
"Miconia sp71","Miconia","Melastomataceae",,
"Cyathea erinacea","Cyathea","Cyatheaceae",,
"Schefflera cuscoensis","Schefflera","Araliaceae",,
"Rhodostemonodaphne longiflora","Rhodostemonodaphne","Lauraceae",,
"Ormosia RSS62","Ormosia","Fabaceae",,
"Luehea candicans","Luehea","Malvaceae",,
"Freziera erickitae","Freziera","Pentaphylacaceae",,
"Tococa ulei","Tococa","Melastomataceae",,
"Cleidion LC1750","Cleidion","Euphorbiaceae",,
"Euplassa AF9600","Euplassa","Proteaceae",,
"Eugenia moraviana","Eugenia","Myrtaceae",,
"Vaccinium dependens","Vaccinium","Ericaceae",,
"Barnadesia polyacantha","Barnadesia","Asteraceae",,
"Hirtella eriandra","Hirtella","Chrysobalanaceae",,
"Cymbopetalum longipes","Cymbopetalum","Annonaceae",,
"Ficus cervantesiana","Ficus","Moraceae",,
"Cyathea sp19","Cyathea","Cyatheaceae",,
"Rollinia sp1","Rollinia","Annonaceae",,
"Iryanthera laevis","Iryanthera","Myristicaceae",,
"Pouteria franciscana","Pouteria","Sapotaceae",,
"Alsophila sp1","Alsophila","Cyatheaceae",,
"Hieronyma sp2","Hieronyma","Euphorbiaceae",,
"Protium lagiocarpium","Protium","Burseraceae",,
"Casearia decandra","Casearia","Salicaceae",,
"Myrcia multiflora","Myrcia","Myrtaceae",,
"Stigmaphyllon florosum","Stigmaphyllon","Malpighiaceae",,
"Ficus insipida","Ficus","Moraceae",,
"Ouratea trollii","Ouratea","Ochnaceae",,
"Licaria triandra","Licaria","Lauraceae",,
"Allophylus cinnamomeus","Allophylus","Sapindaceae",,
"Strychnos guianensis","Strychnos","Loganiaceae",,
"Persea AF16999","Persea","Lauraceae",,
"Handroanthus CMG2429","Handroanthus","Bignoniaceae",,
"Prunus AM3848","Prunus","Rosaceae",,
"Gaultheria buxifolia","Gaultheria","Ericaceae",,
"Physocalymma scaberrimum","Physocalymma","Lythraceae",,
"Licania caudata","Licania","Chrysobalanaceae",,
"Zapoteca amazonica","Zapoteca","Fabaceae",,
"Ecclinusa lanceolata","Ecclinusa","Sapotaceae",,
"Ocotea sp10","Ocotea","Lauraceae",,
"Nectandra sp3","Nectandra","Lauraceae",,
"Clusia pavonii","Clusia","Clusiaceae",,
"Freziera magnibracteolata","Freziera","Pentaphylacaceae",,
"Ruagea subviridiflora","Ruagea","Meliaceae",,
"Nectandra sp2","Nectandra","Lauraceae",,
"Huberodendron swietenioides","Huberodendron","Malvaceae",,
"Sloanea sp1","Sloanea","Elaeocarpaceae",,
"Persea sp2","Persea","Lauraceae",,
"Ruptiliocarpon caracolito","Ruptiliocarpon","Lepidobotryaceae",,
"Gaultheria sp2","Gaultheria","Ericaceae",,
"Mollinedia simulans","Mollinedia","Monimiaceae",,
"Clusia sp15","Clusia","Clusiaceae",,
"Eugenia involucrata","Eugenia","Myrtaceae",,
"Casearia maynacarpa","Casearia","Salicaceae",,
"Pouteria ECQ75","Pouteria","Sapotaceae",,
"Rudgea RVH662","Rudgea","Rubiaceae",,
"Casearia aculeata","Casearia","Salicaceae",,
